,Ironman,Identity,Align,Eye,Hair,Sex,Alive,Appearances,First Appearance,Year
1270,aleph (garden) (earth-616),no dual identity,neutral characters,yellow eyes,no hair,agender characters,deceased characters,4.0,feb-13,2013.0
1271,nyoirin henecha (earth-616),None,bad characters,None,None,male characters,living characters,6.0,mar-93,1993.0
1272,ralph brickman (earth-616),public identity,neutral characters,blue eyes,black hair,male characters,living characters,4.0,nov-96,1996.0
1273,kkallakku (earth-616),secret identity,bad characters,None,None,male characters,living characters,7.0,jul-91,1991.0
1274,eric solvang (earth-616),public identity,good characters,None,brown hair,male characters,living characters,9.0,nov-10,2010.0
1275,matador (juan) (earth-616),None,None,brown eyes,black hair,male characters,living characters,3.0,nov-06,2006.0
1276,clifton shallot (earth-616),known to authorities identity,bad characters,blue eyes,black hair,male characters,living characters,7.0,dec-73,1973.0
1277,roglo (earth-616),public identity,bad characters,None,black hair,male characters,living characters,1.0,may-40,1940.0
1278,phil descard (earth-616),secret identity,None,None,black hair,male characters,living characters,2.0,dec-85,1985.0
1279,fieldstone (earth-616),secret identity,bad characters,None,None,male characters,living characters,2.0,oct-99,1999.0
1280,carla ballinger (earth-616),secret identity,None,None,red hair,female characters,living characters,2.0,dec-85,1985.0
1281,jenny (reporter) (earth-616),no dual identity,neutral characters,blue eyes,black hair,female characters,living characters,2.0,jul-98,1998.0
1282,jessie (sentinel) (earth-616),public identity,good characters,blue eyes,brown hair,female characters,living characters,14.0,jun-03,2003.0
1283,mister negative (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,54.0,jun-07,2007.0
1284,william walters (earth-982),public identity,None,None,grey hair,male characters,living characters,4.0,dec-98,1998.0
1285,sidney levine (earth-616),secret identity,None,None,grey hair,male characters,living characters,25.0,aug-67,1967.0
1286,ivan (frankenstein) (earth-616),None,bad characters,black eyes,black hair,male characters,deceased characters,3.0,may-74,1974.0
1287,zeelmo (earth-616),secret identity,bad characters,None,bald,male characters,deceased characters,1.0,aug-40,1940.0
1288,mother (earth-616),secret identity,neutral characters,white eyes,white hair,female characters,living characters,4.0,sep-02,2002.0
1289,doeke riebeeck (earth-616),public identity,bad characters,None,None,male characters,living characters,3.0,jul-89,1989.0
1290,skunk ape (earth-616),secret identity,neutral characters,yellow eyes,red hair,male characters,living characters,3.0,nov-12,2012.0
1291,proxima midnight (earth-616),no dual identity,bad characters,white eyes,blue hair,female characters,living characters,15.0,None,None
1292,jill stacy (earth-616),public identity,neutral characters,blue eyes,black hair,female characters,living characters,97.0,jan-97,1997.0
1293,michael (genoshan mutate) (earth-616),public identity,None,brown eyes,red hair,male characters,living characters,1.0,nov-90,1990.0
1294,silas king (earth-616),secret identity,None,blue eyes,None,male characters,living characters,15.0,apr-73,1973.0
1295,karl fiers (earth-616),secret identity,bad characters,None,brown hair,male characters,deceased characters,1.0,nov-68,1968.0
1296,black dwarf (earth-616),no dual identity,bad characters,yellow eyes,no hair,male characters,deceased characters,8.0,None,None
1297,karl mordo (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,deceased characters,100.0,aug-63,1963.0
1298,peter seyfert (earth-616),public identity,good characters,green eyes,brown hair,male characters,living characters,17.0,jun-03,2003.0
1299,natsumi (earth-616),secret identity,neutral characters,black eyes,black hair,female characters,deceased characters,3.0,aug-08,2008.0
1300,meryet karim (earth-616),secret identity,neutral characters,yellow eyes,black hair,female characters,living characters,19.0,oct-90,1990.0
1301,ben yarby (shotgun city) (earth-616),no dual identity,good characters,None,brown hair,male characters,living characters,7.0,sep-56,1956.0
1302,gustav brandt (earth-616),secret identity,neutral characters,None,None,male characters,living characters,34.0,jan-70,1970.0
1303,beast (demon) (earth-616),None,bad characters,None,None,male characters,living characters,31.0,aug-86,1986.0
1304,karima (earth-616),secret identity,neutral characters,black eyes,black hair,female characters,living characters,3.0,dec-94,1994.0
1305,arnie gunderson (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,3.0,apr-90,1990.0
1306,professor schultz (earth-616),public identity,bad characters,None,brown hair,male characters,deceased characters,1.0,aug-43,1943.0
1307,maksim golitsyn (earth-616),public identity,good characters,brown eyes,brown hair,male characters,deceased characters,2.0,jun-02,2002.0
1308,trenton craft (earth-616),secret identity,good characters,brown eyes,blond hair,male characters,living characters,6.0,nov-07,2007.0
1309,rigellian grand commissioner (earth-616),public identity,neutral characters,None,None,male characters,living characters,13.0,sep-66,1966.0
1310,mawu (earth-616),public identity,good characters,None,white hair,female characters,living characters,1.0,may-90,1990.0
1311,jericho drumm (earth-616),public identity,good characters,brown eyes,brown hair,male characters,deceased characters,96.0,sep-73,1973.0
1312,franz kraus (earth-616),secret identity,bad characters,None,brown hair,male characters,living characters,2.0,jun-88,1988.0
1313,marge brock (earth-616),None,good characters,None,None,female characters,living characters,2.0,sep-88,1988.0
1314,malekith (earth-616),no dual identity,bad characters,blue eyes,blond hair,male characters,living characters,45.0,jun-84,1984.0
1315,malachi (angel) (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,5.0,nov-05,2005.0
1316,cack clugg (earth-616),public identity,bad characters,None,None,male characters,living characters,2.0,feb-62,1962.0
1317,gertrude yorkes (earth-616),secret identity,good characters,green eyes,black hair,female characters,deceased characters,46.0,jul-03,2003.0
1318,deadshot darrance (earth-616),secret identity,bad characters,None,white hair,male characters,living characters,2.0,nov-83,1983.0
1319,silas mourner (earth-616),None,None,None,None,male characters,deceased characters,7.0,jan-77,1977.0
1320,boobytrap (earth-616),None,bad characters,None,None,male characters,living characters,2.0,feb-98,1998.0
1321,doctor castillo (earth-616),secret identity,good characters,brown eyes,blond hair,female characters,living characters,4.0,dec-05,2005.0
1322,kraglin (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,aug-63,1963.0
1323,nekra sinclair (earth-616),secret identity,bad characters,black eyes,black hair,female characters,deceased characters,48.0,aug-73,1973.0
1324,terry vance (earth-616),public identity,good characters,blue eyes,auburn hair,male characters,living characters,50.0,aug-40,1940.0
1325,gorgolla (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,5.0,apr-60,1960.0
1326,clearcut (earth-616),secret identity,None,None,red hair,male characters,living characters,2.0,jan-97,1997.0
1327,harold becker (earth-616),public identity,good characters,None,None,male characters,living characters,2.0,dec-81,1981.0
1328,james madrox (mutate duplicate) (earth-616),secret identity,good characters,green eyes,brown hair,male characters,deceased characters,6.0,may-87,1987.0
1329,kevin krask (earth-616),public identity,None,None,black hair,male characters,living characters,4.0,dec-94,1994.0
1330,kur (earth-616),None,bad characters,None,None,male characters,living characters,4.0,feb-77,1977.0
1331,mugno (earth-616),None,bad characters,None,None,male characters,living characters,1.0,apr-40,1940.0
1332,sardanus (earth-616),secret identity,bad characters,None,None,male characters,deceased characters,1.0,jul-75,1975.0
1333,chango (santerians) (earth-616),secret identity,good characters,None,black hair,male characters,living characters,4.0,oct-05,2005.0
1334,arthur vale (earth-616),None,None,brown eyes,black hair,male characters,living characters,2.0,aug-92,1992.0
1335,jutta (earth-616),None,bad characters,None,None,female characters,living characters,7.0,apr-92,1992.0
1336,agent 5 (earth-616),secret identity,bad characters,None,None,male characters,living characters,1.0,apr-89,1989.0
1337,jago (earth-616),public identity,bad characters,red eyes,no hair,male characters,deceased characters,2.0,jun-40,1940.0
1338,dreadface (earth-616),secret identity,bad characters,None,no hair,male characters,living characters,5.0,dec-91,1991.0
1339,ajax (pantheon) (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,24.0,mar-91,1991.0
1340,petunia grimm (earth-616),public identity,good characters,blue eyes,black hair,female characters,deceased characters,4.0,jan-82,1982.0
1341,bruno beitz (earth-616),None,bad characters,None,bald,male characters,living characters,2.0,dec-42,1942.0
1342,frank bohannan (earth-616),secret identity,bad characters,white eyes,white hair,male characters,deceased characters,35.0,mar-87,1987.0
1343,blackthorn (earth-616),public identity,neutral characters,violet eyes,no hair,male characters,living characters,3.0,may-82,1982.0
1344,adam brashear (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,19.0,jan-09,2009.0
1345,russian (earth-616),secret identity,bad characters,blue eyes,reddish blond hair,male characters,deceased characters,12.0,nov-00,2000.0
1346,werner von strucker (earth-616),secret identity,bad characters,blue eyes,blond hair,male characters,deceased characters,8.0,aug-90,1990.0
1347,melina vostokoff (earth-616),secret identity,bad characters,None,None,female characters,living characters,16.0,nov-83,1983.0
1348,daniel brantson (earth-616),secret identity,bad characters,None,black hair,male characters,living characters,3.0,jun-95,1995.0
1349,tattooed man (earth-616),secret identity,bad characters,None,bald,male characters,living characters,8.0,jan-09,2009.0
1350,harriet homerstone (earth-616),public identity,good characters,None,black hair,female characters,living characters,3.0,oct-93,1993.0
1351,justine chase (earth-616),secret identity,neutral characters,None,red hair,female characters,deceased characters,3.0,mar-97,1997.0
1352,matt falcone (earth-616),public identity,neutral characters,None,black hair,male characters,living characters,2.0,aug-04,2004.0
1353,dorian murdstone (earth-616),public identity,bad characters,black eyes,black hair,male characters,living characters,5.0,jun-63,1963.0
1354,alexander ellis (earth-616),secret identity,None,blue eyes,blond hair,male characters,living characters,26.0,may-93,1993.0
1355,mzungu (earth-616),secret identity,bad characters,black eyes,bald,male characters,deceased characters,3.0,may-00,2000.0
1356,mowfus (earth-616),secret identity,neutral characters,yellow eyes,no hair,male characters,living characters,6.0,apr-70,1970.0
1357,mr. hamilton (earth-616),public identity,None,None,None,male characters,living characters,1.0,sep-66,1966.0
